Episode,Scenario,Reward,Steps,Success,Collision,RepeatFailure,CorrectReject,FalseReject,RecoverySuccess
336,dynamic_obstacle,-1.03,1,False,False,False,False,True,False
337,pedestrian,-1.03,1,False,False,False,False,True,False
338,dynamic_obstacle,1.97,1,True,False,False,True,False,False
339,dynamic_obstacle,-1.03,1,False,False,False,False,True,False
340,rough_terrain,1.97,1,True,False,False,True,False,False
341,post_collision,-1.03,1,False,False,False,False,True,False
342,dynamic_obstacle,1.97,1,True,False,False,True,False,False
343,pedestrian,1.97,1,True,False,False,True,False,False
344,rough_terrain,1.97,1,True,False,False,True,False,False
345,entrance_misclassification,1.97,1,True,False,False,True,False,False
346,post_collision,-1.03,1,False,False,False,False,True,False
347,rough_terrain,-1.03,1,False,False,False,False,True,False
348,repeat_failure,1.97,1,True,False,False,True,False,False
349,rough_terrain,-1.03,1,False,False,False,False,True,False
350,repeat_failure,1.97,1,True,False,False,True,False,False
351,repeat_failure,1.97,1,True,False,False,True,False,False
352,repeat_failure,-12.3876,2,True,False,False,True,False,False
353,dynamic_obstacle,1.13,2,True,False,False,True,False,False
354,pedestrian,1.97,1,True,False,False,True,False,False
355,dynamic_obstacle,-1.03,1,False,False,False,False,True,False
356,post_collision,-1.03,1,False,False,False,False,True,False
357,pedestrian,1.97,1,True,False,False,True,False,False
358,entrance_misclassification,1.97,1,True,False,False,True,False,False
359,dynamic_obstacle,-1.03,1,False,False,False,False,True,False
360,repeat_failure,1.97,1,True,False,False,True,False,False
361,repeat_failure,1.97,1,True,False,False,True,False,False
362,entrance_misclassification,1.97,1,True,False,False,True,False,False
363,entrance_misclassification,1.97,1,True,False,False,True,False,False
364,entrance_misclassification,1.97,1,True,False,False,True,False,False
365,entrance_misclassification,1.97,1,True,False,False,True,False,False
366,dynamic_obstacle,-1.03,1,False,False,False,False,True,False
367,dynamic_obstacle,-1.03,1,False,False,False,False,True,False
368,repeat_failure,1.97,1,True,False,False,True,False,False
369,entrance_misclassification,-8.4528,2,True,False,False,True,False,False
370,dynamic_obstacle,-1.03,1,False,False,False,False,True,False
371,pedestrian,1.97,1,True,False,False,True,False,False
372,dynamic_obstacle,-1.03,1,False,False,False,False,True,False
373,dynamic_obstacle,-1.03,1,False,False,False,False,True,False
374,pedestrian,-1.03,1,False,False,False,False,True,False
375,pedestrian,1.97,1,True,False,False,True,False,False
376,entrance_misclassification,1.97,1,True,False,False,True,False,False
377,pedestrian,1.97,1,True,False,False,True,False,False
378,dynamic_obstacle,-1.03,1,False,False,False,False,True,False
379,dynamic_obstacle,-1.03,1,False,False,False,False,True,False
380,repeat_failure,1.97,1,True,False,False,True,False,False
381,rough_terrain,1.97,1,True,False,False,True,False,False
382,dynamic_obstacle,1.97,1,True,False,False,True,False,False
383,post_collision,-1.03,1,False,False,False,False,True,False
384,post_collision,1.97,1,True,False,False,True,False,False
385,repeat_failure,1.97,1,True,False,False,True,False,False
386,post_collision,-1.03,1,False,False,False,False,True,False
387,rough_terrain,1.97,1,True,False,False,True,False,False
388,entrance_misclassification,1.97,1,True,False,False,True,False,False
389,entrance_misclassification,1.97,1,True,False,False,True,False,False
390,post_collision,1.97,1,True,False,False,True,False,False
391,rough_terrain,-1.03,1,False,False,False,False,True,False
392,post_collision,-1.03,1,False,False,False,False,True,False
393,rough_terrain,1.97,1,True,False,False,True,False,False
394,repeat_failure,1.97,1,True,False,False,True,False,False
395,rough_terrain,1.97,1,True,False,False,True,False,False
396,dynamic_obstacle,-1.03,1,False,False,False,False,True,False
397,dynamic_obstacle,1.97,1,True,False,False,True,False,False
398,repeat_failure,1.97,1,True,False,False,True,False,False
399,dynamic_obstacle,1.97,1,True,False,False,True,False,False
400,pedestrian,1.97,1,True,False,False,True,False,False
401,rough_terrain,-1.03,1,False,False,False,False,True,False
402,entrance_misclassification,1.97,1,True,False,False,True,False,False
403,pedestrian,1.97,1,True,False,False,True,False,False
404,dynamic_obstacle,1.97,1,True,False,False,True,False,False
405,dynamic_obstacle,-1.03,1,False,False,False,False,True,False
406,rough_terrain,1.97,1,True,False,False,True,False,False
407,post_collision,1.97,1,True,False,False,True,False,False
408,entrance_misclassification,1.97,1,True,False,False,True,False,False
409,entrance_misclassification,1.97,1,True,False,False,True,False,False
410,dynamic_obstacle,-0.67,2,False,False,False,False,True,False
411,pedestrian,1.97,1,True,False,False,True,False,False
412,pedestrian,1.97,1,True,False,False,True,False,False
413,entrance_misclassification,-8.9949,2,True,False,False,True,False,False
414,rough_terrain,1.97,1,True,False,False,True,False,False
415,entrance_misclassification,1.97,1,True,False,False,True,False,False
416,pedestrian,1.97,1,True,False,False,True,False,False
417,repeat_failure,1.97,1,True,False,False,True,False,False
418,pedestrian,1.97,1,True,False,False,True,False,False
419,post_collision,-1.03,1,False,False,False,False,True,False
420,dynamic_obstacle,-1.03,1,False,False,False,False,True,False
421,post_collision,-1.03,1,False,False,False,False,True,False
422,rough_terrain,1.97,1,True,False,False,True,False,False
423,pedestrian,-1.03,1,False,False,False,False,True,False
424,post_collision,-1.03,1,False,False,False,False,True,False
425,rough_terrain,1.97,1,True,False,False,True,False,False
426,dynamic_obstacle,-1.03,1,False,False,False,False,True,False
427,dynamic_obstacle,-1.03,1,False,False,False,False,True,False
428,pedestrian,1.97,1,True,False,False,True,False,False
429,post_collision,1.97,1,True,False,False,True,False,False
430,pedestrian,1.97,1,True,False,False,True,False,False
431,repeat_failure,1.97,1,True,False,False,True,False,False
432,post_collision,-1.03,1,False,False,False,False,True,False
433,pedestrian,1.97,1,True,False,False,True,False,False
434,rough_terrain,-1.03,1,False,False,False,False,True,False
435,repeat_failure,1.97,1,True,False,False,True,False,False
436,rough_terrain,-1.03,1,False,False,False,False,True,False
437,post_collision,1.97,1,True,False,False,True,False,False
438,pedestrian,-1.03,1,False,False,False,False,True,False
439,rough_terrain,1.97,1,True,False,False,True,False,False
440,dynamic_obstacle,1.97,1,True,False,False,True,False,False
441,pedestrian,-1.03,1,False,False,False,False,True,False
442,rough_terrain,-1.03,1,False,False,False,False,True,False
443,entrance_misclassification,-8.4399,2,True,False,False,True,False,False
444,pedestrian,1.97,1,True,False,False,True,False,False
445,post_collision,1.97,1,True,False,False,True,False,False
446,entrance_misclassification,1.97,1,True,False,False,True,False,False
447,rough_terrain,-1.03,1,False,False,False,False,True,False
448,pedestrian,1.97,1,True,False,False,True,False,False
449,pedestrian,1.97,1,True,False,False,True,False,False
450,dynamic_obstacle,9.0184,1,True,False,False,False,False,False
451,dynamic_obstacle,2.33,2,True,False,False,True,False,False
452,rough_terrain,-1.03,1,False,False,False,False,True,False
453,pedestrian,-8.9299,2,True,False,False,True,False,False
454,pedestrian,-1.03,1,False,False,False,False,True,False
455,repeat_failure,1.97,1,True,False,False,True,False,False
456,entrance_misclassification,1.97,1,True,False,False,True,False,False
457,entrance_misclassification,1.97,1,True,False,False,True,False,False
458,dynamic_obstacle,-0.67,2,False,False,False,False,True,False
459,repeat_failure,1.97,1,True,False,False,True,False,False
460,pedestrian,-1.03,1,False,False,False,False,True,False
461,entrance_misclassification,2.33,2,True,False,False,True,False,False
462,post_collision,1.97,1,True,False,False,True,False,False
463,pedestrian,9.0171,1,True,False,False,False,False,False
464,pedestrian,-1.03,1,False,False,False,False,True,False
465,pedestrian,-8.9757,2,True,False,False,True,False,False
466,repeat_failure,1.97,1,True,False,False,True,False,False
467,pedestrian,2.33,2,True,False,False,True,False,False
468,repeat_failure,-13.5323,2,True,False,False,True,False,False
469,pedestrian,-10.4555,2,True,False,False,True,False,False
470,dynamic_obstacle,1.97,1,True,False,False,True,False,False
471,repeat_failure,1.97,1,True,False,False,True,False,False
472,repeat_failure,1.97,1,True,False,False,True,False,False
473,rough_terrain,1.97,1,True,False,False,True,False,False
474,dynamic_obstacle,-8.6518,2,True,False,False,True,False,False
475,repeat_failure,1.97,1,True,False,False,True,False,False
476,rough_terrain,-1.03,1,False,False,False,False,True,False
477,post_collision,-1.03,1,False,False,False,False,True,False
478,repeat_failure,1.97,1,True,False,False,True,False,False
479,repeat_failure,1.97,1,True,False,False,True,False,False
480,rough_terrain,-0.67,2,False,False,False,False,True,False
481,entrance_misclassification,1.97,1,True,False,False,True,False,False
482,post_collision,1.97,1,True,False,False,True,False,False
483,post_collision,-1.03,1,False,False,False,False,True,False
484,post_collision,-1.03,1,False,False,False,False,True,False
485,dynamic_obstacle,8.915,1,True,False,False,False,False,False
486,pedestrian,-1.03,1,False,False,False,False,True,False
