Strategy,Seed,Mission,ObstacleX,ObstacleStart,ObstacleDuration,Success,Replans,WaitSteps,PathLength,TotalCost
Wait-only,43,1,26,13,12,True,0,11,53.0,86.0
Wait-only,43,2,38,26,24,True,0,24,53.0,125.0
Wait-only,44,0,30,17,11,True,0,10,53.0,83.0
Wait-only,44,1,38,27,21,True,0,21,53.0,116.0
Wait-only,44,2,34,21,16,True,0,15,53.0,98.0
Wait-only,45,0,34,21,10,True,0,9,53.0,80.0
Wait-only,45,1,30,18,43,True,0,43,53.0,182.0
Wait-only,45,2,26,14,18,True,0,18,53.0,107.0
Wait-only,46,0,26,13,30,True,0,29,53.0,140.0
Wait-only,46,1,38,25,3,True,0,2,53.0,59.0
Wait-only,46,2,38,25,43,True,0,42,53.0,179.0
Wait-only,47,0,34,23,20,True,0,20,53.0,113.0
Wait-only,47,1,34,23,40,True,0,40,53.0,173.0
Wait-only,47,2,38,25,36,True,0,35,53.0,158.0
Wait-only,48,0,38,26,15,True,0,15,53.0,98.0
Wait-only,48,1,26,13,40,True,0,39,53.0,170.0
Wait-only,48,2,34,23,5,True,0,5,53.0,68.0
Wait-only,49,0,38,27,6,True,0,6,53.0,71.0
Wait-only,49,1,26,13,18,True,0,17,53.0,104.0
Wait-only,49,2,26,16,30,True,0,30,53.0,143.0
Wait-only,50,0,26,14,36,True,0,36,53.0,161.0
Wait-only,50,1,26,13,15,True,0,14,53.0,95.0
Wait-only,50,2,26,13,6,True,0,5,53.0,68.0
Wait-only,51,0,26,13,41,True,0,40,53.0,173.0
Wait-only,51,1,26,15,17,True,0,17,53.0,104.0
Wait-only,51,2,26,13,20,True,0,19,53.0,110.0
Wait-only,52,0,26,15,6,True,0,6,53.0,71.0
Wait-only,52,1,34,21,28,True,0,27,53.0,134.0
Wait-only,52,2,38,25,28,True,0,27,53.0,134.0
Wait-only,53,0,30,19,5,True,0,5,53.0,68.0
Wait-only,53,1,34,23,32,True,0,32,53.0,149.0
Wait-only,53,2,34,23,16,True,0,16,53.0,101.0
Wait-only,54,0,30,19,34,True,0,34,53.0,155.0
Wait-only,54,1,26,13,16,True,0,15,53.0,98.0
