TrajectoryType,Strategy,Seed,Mission,Success,Replans,WaitSteps,DecisionWaits,DecisionReroutes,PathLength,PredictionMAE,MeanRiskRadius,TotalCost
sudden-acceleration,Default uncertainty-aware memory,1006,2,True,2,6,0,0,110.598,1.2136,1.5249,138.598
sudden-acceleration,Default uncertainty-aware memory,1007,0,True,2,6,0,0,84.657,1.2724,1.5249,112.657
sudden-acceleration,Default uncertainty-aware memory,1007,1,True,5,8,0,0,55.485,1.3177,1.5253,104.485
sudden-acceleration,Default uncertainty-aware memory,1007,2,True,2,6,0,0,102.799,1.2911,1.5249,130.799
sudden-acceleration,Default uncertainty-aware memory,1008,0,True,4,7,0,0,56.899,1.448,1.5252,97.899
sudden-acceleration,Default uncertainty-aware memory,1008,1,True,5,8,0,0,112.497,1.3057,1.5249,161.497
sudden-acceleration,Default uncertainty-aware memory,1008,2,False,1,3,0,0,24.0,1.5969,1.5262,278.0
sudden-acceleration,Default uncertainty-aware memory,1009,0,False,2,4,0,0,30.0,1.3697,1.5259,292.0
sudden-acceleration,Default uncertainty-aware memory,1009,1,True,0,2,0,0,73.184,1.3473,1.5251,79.184
sudden-acceleration,Default uncertainty-aware memory,1009,2,True,1,5,0,0,99.042,1.3016,1.5249,119.042
sudden-acceleration,Default uncertainty-aware memory,1010,0,True,3,9,0,0,107.284,1.1648,1.5248,149.284
sudden-acceleration,Default uncertainty-aware memory,1010,1,False,2,4,0,0,28.0,1.3015,1.526,290.0
sudden-acceleration,Default uncertainty-aware memory,1010,2,True,0,2,0,0,73.184,1.3307,1.5251,79.184
